player,team,league,age,gls_per90,ast_per90,sh_per90,sot_pct,goals_per_shot,goals_per_sot,sot_per90
Marwan Al Sahafi,Antwerp,BEL-Pro League,21,0.07,0.0,1.3,26.3,0.05,0.2,0.34
Vincent Janssen,Antwerp,BEL-Pro League,31,0.29,0.2,2.63,33.3,0.07,0.2,0.88
Alan Minda,Cercle Brugge,BEL-Pro League,22,0.28,0.19,2.41,46.2,0.12,0.25,1.11
Dante Vanzeir,Cercle Brugge,BEL-Pro League,27,0.22,0.22,2.47,45.5,0.09,0.2,1.12
Oluwaseun Adewumi,Cercle Brugge,BEL-Pro League,20,0.28,0.0,3.22,42.1,0.09,0.21,1.36
Oumar Diakité,Cercle Brugge,BEL-Pro League,21,0.44,0.0,2.46,46.2,0.15,0.33,1.14
Steve Ngoura,Cercle Brugge,BEL-Pro League,20,0.3,0.17,3.12,33.3,0.07,0.21,1.04
Antoine Colassin,Charleroi,BEL-Pro League,24,0.29,0.29,3.29,30.4,0.09,0.29,1.0
Aurélien Scheidler,Charleroi,BEL-Pro League,27,0.28,0.12,2.0,36.9,0.12,0.33,0.74
Christos Tzolis,Club Brugge,BEL-Pro League,23,0.5,0.67,3.61,35.8,0.11,0.32,1.29
Hugo Vetlesen,Club Brugge,BEL-Pro League,25,0.35,0.42,2.51,38.9,0.14,0.36,0.98
Mamadou Diakhon,Club Brugge,BEL-Pro League,19,0.0,0.79,1.8,18.8,0.0,0.0,0.34
Nicolo Tresoldi,Club Brugge,BEL-Pro League,20,0.69,0.18,3.62,39.0,0.19,0.49,1.41
Romeo Vermant,Club Brugge,BEL-Pro League,21,0.54,0.14,3.25,39.6,0.17,0.42,1.29
Alireza Jahanbakhsh,Dender,BEL-Pro League,31,0.1,0.1,1.99,35.0,0.0,0.0,0.7
Bruny Nsimba,Dender,BEL-Pro League,25,0.45,0.2,2.83,38.6,0.09,0.23,1.09
David Hrnčár,Dender,BEL-Pro League,27,0.22,0.0,1.87,47.1,0.12,0.25,0.88
David Toshevski,Dender,BEL-Pro League,24,0.24,0.0,2.37,30.8,0.1,0.33,0.73
Mohamed Berte,Dender,BEL-Pro League,23,0.19,0.0,1.95,42.9,0.1,0.22,0.84
Roman Květ,Dender,BEL-Pro League,27,0.18,0.0,1.31,29.7,0.14,0.45,0.39
Aaron Bibout,Genk,BEL-Pro League,20,0.49,0.0,3.82,36.2,0.13,0.35,1.38
Junya Itō,Genk,BEL-Pro League,32,0.3,0.25,1.78,45.7,0.17,0.38,0.81
Konstantinos Karetsas,Genk,BEL-Pro League,17,0.0,0.4,2.74,39.7,0.0,0.0,1.09
Oh Hyeon-gyu,Genk,BEL-Pro League,24,0.49,0.24,4.07,50.0,0.12,0.24,2.03
Robin Mirisola,Genk,BEL-Pro League,18,0.29,0.15,2.47,35.3,0.12,0.33,0.87
Yira Sor,Genk,BEL-Pro League,25,0.33,0.08,2.92,48.6,0.11,0.24,1.42
Hyllarion Goore,Gent,BEL-Pro League,19,0.32,0.25,3.49,27.3,0.09,0.33,0.95
Max Dean,Gent,BEL-Pro League,21,0.53,0.08,3.74,42.9,0.1,0.24,1.6
Wilfried Kanga,Gent,BEL-Pro League,27,0.39,0.13,2.86,39.1,0.09,0.24,1.12
Jerry Afriyie,La Louvière,BEL-Pro League,18,0.18,0.04,1.85,41.2,0.1,0.24,0.76
Maxime Pau,La Louvière,BEL-Pro League,25,0.13,0.0,1.17,22.2,0.11,0.5,0.26
Oucasse Mendy,La Louvière,BEL-Pro League,24,0.1,0.0,0.68,28.6,0.14,0.5,0.2
Pape Moussa Fall,La Louvière,BEL-Pro League,21,0.56,0.05,3.15,37.1,0.16,0.43,1.17
Benito Raman,Mechelen,BEL-Pro League,30,0.26,0.26,2.38,35.7,0.11,0.3,0.85
Bilal Bafdili,Mechelen,BEL-Pro League,20,0.11,0.32,1.16,36.4,0.09,0.25,0.42
Bouke Boersma,Mechelen,BEL-Pro League,20,0.2,0.2,1.57,47.8,0.13,0.27,0.75
Kerim Mrabti,Mechelen,BEL-Pro League,31,0.2,0.12,1.18,33.3,0.17,0.5,0.39
Lion Lauberbach,Mechelen,BEL-Pro League,27,0.29,0.05,2.32,52.1,0.13,0.24,1.21
Myron van Brederode,Mechelen,BEL-Pro League,22,0.29,0.16,1.3,41.5,0.2,0.47,0.54
Abdoul Karim Traoré,OH Leuven,BEL-Pro League,18,0.19,0.09,3.21,23.5,0.06,0.25,0.76
Chukwubuikem Ikwuemesi,OH Leuven,BEL-Pro League,23,0.2,0.0,2.28,39.1,0.09,0.22,0.89
Jovan Mijatović,OH Leuven,BEL-Pro League,20,0.0,0.12,1.87,26.7,0.0,0.0,0.5
Mathieu Maertens,OH Leuven,BEL-Pro League,30,0.07,0.21,3.65,32.7,0.02,0.06,1.19
Sory Kaba,OH Leuven,BEL-Pro League,30,0.34,0.11,2.31,31.7,0.12,0.38,0.73
Thibaud Verlinden,OH Leuven,BEL-Pro League,26,0.12,0.25,1.24,50.0,0.1,0.2,0.62
Youssef Maziz,OH Leuven,BEL-Pro League,27,0.13,0.17,2.15,24.0,0.06,0.25,0.52
Andrés Ferrari,Sint-Truiden,BEL-Pro League,22,0.31,0.1,3.32,25.0,0.06,0.25,0.83
Arbnor Muja,Sint-Truiden,BEL-Pro League,26,0.29,0.1,2.1,37.2,0.12,0.31,0.78
Ilias Sebaoui,Sint-Truiden,BEL-Pro League,23,0.14,0.17,2.55,29.3,0.05,0.19,0.75
Keisuke Gotō,Sint-Truiden,BEL-Pro League,20,0.34,0.22,1.94,40.3,0.15,0.36,0.78
Adnane Abid,Standard Liège,BEL-Pro League,21,0.09,0.21,0.94,50.0,0.09,0.18,0.47
Dennis Eckert,Standard Liège,BEL-Pro League,28,0.23,0.0,1.46,31.3,0.13,0.4,0.45
